employment_type,required_experience,industry,telecommuting,has_company_logo,total_jobs,fake_jobs,fake_percentage
Full-time,Director,Biotechnology,0,1,1,0,0
Other,Internship,"Civic & Social Organization",0,1,2,0,0
Full-time,"Entry level",Fund-Raising,1,1,9,0,0
Full-time,"Mid-Senior level","Consumer Goods",0,1,10,0,0
Contract,Associate,"Information Technology and Services",0,1,19,0,0
Full-time,"Entry level",Telecommunications,0,0,10,9,90
Full-time,"Entry level","Apparel & Fashion",0,1,12,0,0
Full-time,Associate,"Food & Beverages",0,1,9,0,0
Other,"Mid-Senior level",NULL,0,1,1,0,0
Part-time,NULL,NULL,0,0,40,32,80
Full-time,Executive,Retail,0,1,1,0,0
Full-time,"Mid-Senior level","Civic & Social Organization",0,1,1,0,0
Full-time,Director,Research,0,1,3,0,0
Full-time,"Mid-Senior level","Nonprofit Organization Management",0,0,6,0,0
Temporary,NULL,"Hospital & Health Care",0,1,3,0,0
Contract,NULL,Telecommunications,0,1,3,0,0
Full-time,Associate,"Computer Hardware",0,1,6,0,0
Full-time,Associate,"Marketing and Advertising",1,1,2,0,0
Full-time,Associate,"Government Administration",0,1,1,0,0
Full-time,Associate,"Consumer Electronics",0,1,18,0,0
Full-time,Associate,"Hospital & Health Care",0,0,8,0,0
Full-time,"Mid-Senior level",Airlines/Aviation,0,1,20,0,0
Full-time,"Entry level",Accounting,0,0,25,23,92
Part-time,"Not Applicable","Logistics and Supply Chain",0,1,4,0,0
Full-time,Director,"Computer Hardware",0,1,3,0,0
Part-time,"Entry level","Computer Games",0,1,1,0,0
Temporary,NULL,"Management Consulting",0,1,1,0,0
Full-time,Associate,"Computer Games",0,1,11,0,0
Full-time,Associate,"Higher Education",0,1,1,0,0
Part-time,"Entry level",Restaurants,0,1,2,0,0
Full-time,NULL,"Electrical/Electronic Manufacturing",0,1,6,0,0
Full-time,"Entry level","Consumer Services",0,0,7,1,14.29
Part-time,NULL,"Health, Wellness and Fitness",0,1,2,0,0
Temporary,"Entry level","Marketing and Advertising",0,1,10,0,0
Full-time,"Mid-Senior level","Management Consulting",0,0,6,0,0
Temporary,"Not Applicable","Events Services",0,1,1,0,0
Full-time,Executive,"Oil & Energy",0,1,1,1,100
Full-time,"Entry level",Telecommunications,1,0,3,2,66.67
Part-time,"Entry level","Food Production",0,1,4,0,0
Full-time,"Not Applicable","Oil & Energy",0,1,6,0,0
Temporary,"Entry level","Computer Software",0,1,6,0,0
Full-time,Associate,"Staffing and Recruiting",0,1,18,0,0
Full-time,"Mid-Senior level","Computer Software",1,1,19,0,0
Full-time,"Mid-Senior level","Staffing and Recruiting",0,1,12,0,0
NULL,NULL,"Mechanical or Industrial Engineering",0,1,1,0,0
Full-time,Internship,Accounting,0,0,2,2,100
Full-time,Associate,Telecommunications,0,1,24,1,4.17
Temporary,"Not Applicable","Electrical/Electronic Manufacturing",0,1,1,0,0
Full-time,"Entry level","Online Media",0,0,3,0,0
Full-time,"Not Applicable",Construction,0,0,7,1,14.29
Full-time,Associate,"Computer Software",0,0,14,0,0
Full-time,"Mid-Senior level","Information Services",1,1,2,0,0
Full-time,Executive,E-Learning,0,1,1,0,0
Full-time,"Not Applicable",Internet,1,1,9,0,0
Contract,"Entry level",Retail,0,1,1,0,0
Full-time,Associate,"Business Supplies and Equipment",0,1,1,0,0
Full-time,"Not Applicable","Renewables & Environment",0,1,1,0,0
Full-time,Director,Entertainment,0,1,2,0,0
Contract,"Mid-Senior level","Marketing and Advertising",0,1,5,0,0
Full-time,Internship,"Media Production",0,1,1,0,0
Full-time,"Not Applicable","Hospital & Health Care",0,0,6,2,33.33
Full-time,"Mid-Senior level","Computer Software",1,0,2,0,0
Contract,Associate,"Computer Software",1,1,19,0,0
Full-time,"Mid-Senior level","Motion Pictures and Film",0,1,4,0,0
Full-time,"Entry level",Construction,0,0,6,0,0
Contract,Associate,"Financial Services",0,1,3,0,0
Full-time,NULL,NULL,1,1,14,0,0
Full-time,"Not Applicable","Computer Software",1,1,2,0,0
Full-time,Executive,"Food & Beverages",0,1,3,0,0
Contract,"Mid-Senior level","Management Consulting",0,1,4,0,0
Part-time,Internship,"Computer Software",0,1,12,0,0
Full-time,Director,Semiconductors,0,1,4,0,0
Other,Internship,"Marketing and Advertising",0,0,1,0,0
Temporary,Associate,"Financial Services",0,1,8,0,0
Full-time,"Not Applicable","Oil & Energy",0,0,1,0,0
Full-time,"Mid-Senior level","Law Practice",0,1,7,0,0
NULL,"Entry level","Consumer Services",0,1,3,0,0
Full-time,"Entry level","Government Relations",0,1,6,0,0
Contract,NULL,"Hospital & Health Care",0,1,6,0,0
Full-time,Internship,Telecommunications,1,0,1,1,100
Full-time,"Mid-Senior level","Packaging and Containers",0,1,1,0,0
Full-time,Director,Libraries,0,0,1,0,0
Full-time,"Mid-Senior level",Automotive,0,0,5,0,0
Full-time,"Mid-Senior level","Sporting Goods",0,1,1,0,0
Full-time,NULL,Restaurants,0,0,10,0,0
Full-time,"Entry level",Warehousing,0,0,2,0,0
Full-time,"Mid-Senior level","Health, Wellness and Fitness",0,1,11,0,0
Full-time,"Entry level","Mining & Metals",0,1,1,0,0
Full-time,"Entry level","Building Materials",0,1,5,0,0
Other,Director,"Nonprofit Organization Management",0,1,1,0,0
Part-time,Internship,NULL,0,0,1,0,0
Contract,"Mid-Senior level","Computer Software",0,1,18,0,0
Part-time,"Mid-Senior level","Public Relations and Communications",0,1,2,0,0
Contract,"Mid-Senior level","Computer Games",1,1,1,0,0
Full-time,"Entry level","Real Estate",1,1,11,11,100
Contract,NULL,Hospitality,0,0,2,2,100
Full-time,"Not Applicable","Online Media",0,1,4,0,0
Full-time,"Not Applicable",Design,0,1,8,0,0
Other,"Entry level","Nonprofit Organization Management",0,1,3,0,0
Full-time,NULL,Transportation/Trucking/Railroad,0,1,5,0,0
Full-time,"Entry level",Entertainment,0,1,1,0,0
Temporary,"Not Applicable","Security and Investigations",0,0,1,0,0
Full-time,Director,Design,0,1,8,0,0
Full-time,Director,"Media Production",0,1,3,0,0
Full-time,"Entry level","Computer Software",1,1,6,0,0
Part-time,Associate,"Information Services",0,0,1,0,0
Full-time,"Entry level","Electrical/Electronic Manufacturing",0,1,5,0,0
Part-time,NULL,"Higher Education",0,1,4,0,0
Full-time,"Mid-Senior level",Construction,1,1,3,0,0
Full-time,Director,"Medical Practice",0,1,5,0,0
Contract,"Mid-Senior level","Public Relations and Communications",0,0,1,0,0
Full-time,Internship,Insurance,0,1,1,0,0
Full-time,"Entry level",E-Learning,0,1,2,0,0
Part-time,Associate,Retail,0,1,11,0,0
Full-time,"Entry level","Staffing and Recruiting",0,1,9,0,0
Full-time,Associate,"Nonprofit Organization Management",0,1,14,0,0
Full-time,"Not Applicable","Import and Export",0,0,1,0,0
Part-time,"Not Applicable",Restaurants,0,0,1,0,0
Other,Associate,"Medical Practice",0,1,1,0,0
Contract,"Mid-Senior level","Computer Software",1,1,7,0,0
Full-time,Internship,Banking,0,1,3,0,0
Full-time,NULL,"Religious Institutions",0,1,2,0,0
Full-time,Associate,"Environmental Services",0,1,4,0,0
Contract,NULL,Banking,0,0,1,0,0
Contract,NULL,"Oil & Energy",0,1,3,0,0
Other,"Not Applicable","Computer Software",0,1,2,0,0
NULL,"Mid-Senior level","Staffing and Recruiting",0,1,2,0,0
Temporary,Internship,"Writing and Editing",0,1,3,0,0
Full-time,NULL,E-Learning,0,1,14,0,0
Full-time,"Not Applicable","Consumer Goods",0,1,1,0,0
Full-time,"Entry level",Machinery,0,1,1,0,0
Part-time,"Not Applicable","Hospital & Health Care",0,1,9,0,0
Full-time,Internship,Hospitality,0,0,1,0,0
Other,"Entry level","Information Technology and Services",0,1,2,0,0
Full-time,Internship,"Consumer Goods",0,0,1,1,100
Temporary,"Entry level",Hospitality,0,1,2,0,0
Full-time,NULL,Pharmaceuticals,0,0,2,0,0
Full-time,NULL,Warehousing,0,0,9,0,0
Full-time,Associate,Internet,1,1,5,0,0
Contract,"Not Applicable",Retail,0,1,1,0,0
Temporary,"Mid-Senior level",Semiconductors,0,0,1,0,0
Full-time,"Mid-Senior level","Medical Devices",0,1,5,0,0
Full-time,Associate,Chemicals,0,1,1,0,0
Part-time,Associate,"Information Technology and Services",1,1,1,0,0
Contract,"Not Applicable","Health, Wellness and Fitness",0,0,8,0,0
Full-time,Director,"Computer Software",1,1,4,0,0
Full-time,NULL,Insurance,0,1,4,0,0
Other,"Not Applicable","Online Media",0,1,2,0,0
Full-time,Associate,Entertainment,0,1,15,0,0
Full-time,"Mid-Senior level","International Trade and Development",0,0,2,0,0
Full-time,NULL,"Apparel & Fashion",0,1,15,0,0
Full-time,Director,"Education Management",0,1,2,0,0
Full-time,Associate,"Government Administration",0,0,1,0,0
NULL,NULL,"Human Resources",0,1,1,0,0
Part-time,Internship,Retail,0,0,1,0,0
Part-time,NULL,"Food & Beverages",0,1,2,0,0
Full-time,NULL,"Food & Beverages",0,1,2,0,0
Full-time,"Not Applicable","Mechanical or Industrial Engineering",0,0,1,0,0
Other,Internship,Internet,0,1,5,0,0
Temporary,"Not Applicable",NULL,0,0,2,0,0
Part-time,"Entry level","Nonprofit Organization Management",1,1,3,0,0
NULL,Associate,"Hospital & Health Care",0,1,1,0,0
Contract,"Not Applicable","Health, Wellness and Fitness",1,0,1,0,0
Full-time,Internship,"Public Relations and Communications",0,1,4,0,0
Contract,"Not Applicable","Environmental Services",0,1,1,0,0
Contract,"Entry level",Construction,0,1,1,1,100
Part-time,Internship,"Marketing and Advertising",0,0,4,1,25
NULL,NULL,"Health, Wellness and Fitness",0,1,6,0,0
Contract,"Not Applicable","Mental Health Care",1,0,1,0,0
Full-time,"Mid-Senior level","Real Estate",0,1,76,0,0
Full-time,NULL,"Consumer Services",0,1,33,0,0
Full-time,Executive,"Medical Practice",0,1,1,0,0
Full-time,Associate,Printing,0,0,4,0,0
Full-time,Associate,Banking,0,0,4,1,25
Full-time,Executive,"Nonprofit Organization Management",0,1,5,0,0
NULL,NULL,"Oil & Energy",0,1,11,0,0
Full-time,"Mid-Senior level","Professional Training & Coaching",0,1,2,0,0
Full-time,NULL,"Market Research",0,0,34,0,0
Full-time,NULL,Telecommunications,1,1,2,0,0
Full-time,Associate,NULL,0,0,2,0,0
Other,Internship,"Graphic Design",0,1,2,0,0
Full-time,Director,"Information Technology and Services",0,0,8,1,12.5
Part-time,NULL,Textiles,0,0,1,0,0
NULL,"Mid-Senior level",Pharmaceuticals,1,1,1,0,0
NULL,NULL,Pharmaceuticals,0,1,6,0,0
Part-time,NULL,"Public Relations and Communications",0,1,1,0,0
Full-time,"Entry level","Commercial Real Estate",0,1,2,0,0
Full-time,NULL,"Business Supplies and Equipment",0,0,2,1,50
Other,Associate,"Computer Software",0,1,2,0,0
Full-time,"Entry level",Insurance,1,1,4,2,50
Full-time,"Mid-Senior level",Wholesale,0,1,1,0,0
Full-time,NULL,Retail,0,0,3,0,0
Part-time,NULL,"Law Practice",0,0,1,0,0
Other,"Not Applicable","Marketing and Advertising",0,0,4,3,75
Part-time,"Not Applicable",Accounting,0,0,1,1,100
Full-time,NULL,"Higher Education",0,1,1,0,0
Full-time,Director,"Computer Software",0,0,11,0,0
Contract,"Entry level",Utilities,0,1,4,0,0
Other,"Not Applicable",Internet,0,1,4,0,0
Full-time,Director,"Consumer Goods",0,1,3,0,0
Part-time,Associate,"Events Services",0,1,1,0,0
Contract,"Mid-Senior level","Medical Devices",0,0,3,0,0
Part-time,"Not Applicable","Education Management",0,0,3,0,0
Contract,"Mid-Senior level","Program Development",0,1,1,0,0
NULL,NULL,"Financial Services",0,1,1,0,0
Full-time,"Mid-Senior level","Law Enforcement",1,1,1,0,0
Full-time,"Entry level","Medical Practice",0,1,4,0,0
NULL,Associate,"Staffing and Recruiting",0,1,2,0,0
Full-time,"Not Applicable","Consumer Services",0,0,4,3,75
Full-time,Associate,"Logistics and Supply Chain",1,1,1,0,0
Full-time,Associate,Wholesale,0,1,1,0,0
Contract,"Entry level","Information Technology and Services",0,0,2,0,0
Part-time,"Not Applicable",E-Learning,0,1,3,0,0
Full-time,Associate,Accounting,0,0,4,1,25
Full-time,"Mid-Senior level","Law Enforcement",0,1,3,0,0
Contract,Internship,Research,1,1,1,0,0
Full-time,"Mid-Senior level","Mining & Metals",0,1,2,0,0
Full-time,Associate,"Consumer Services",0,0,3,2,66.67
Contract,Internship,Design,0,1,2,0,0
Part-time,"Entry level","Government Administration",0,1,2,0,0
Part-time,Internship,"Writing and Editing",1,1,1,0,0
Part-time,Internship,"Financial Services",0,1,1,0,0
Full-time,NULL,"Security and Investigations",0,1,11,0,0
Part-time,Internship,Biotechnology,0,1,2,0,0
Full-time,Associate,"Electrical/Electronic Manufacturing",0,1,9,0,0
Full-time,Associate,"Broadcast Media",0,1,3,0,0
Contract,Associate,"Information Technology and Services",1,1,3,0,0
Full-time,Executive,"Hospital & Health Care",0,1,4,0,0
Other,NULL,"Oil & Energy",0,1,1,0,0
Contract,Executive,"Information Technology and Services",1,1,1,0,0
Full-time,NULL,"Management Consulting",0,1,3,0,0
Full-time,"Not Applicable",Hospitality,0,1,5,1,20
Full-time,"Mid-Senior level",NULL,0,0,13,1,7.69
Full-time,NULL,"Graphic Design",0,1,2,0,0
Full-time,"Entry level","Logistics and Supply Chain",0,1,4,2,50
Contract,NULL,"Information Technology and Services",0,0,10,1,10
Full-time,"Mid-Senior level","Government Administration",0,1,3,0,0
Full-time,"Mid-Senior level",Sports,0,1,7,0,0
Full-time,Director,Sports,0,1,1,0,0
Part-time,NULL,"Logistics and Supply Chain",0,1,2,0,0
Full-time,"Entry level",Automotive,0,0,1,0,0
Part-time,"Entry level",Retail,0,0,6,0,0
Contract,Internship,"Marketing and Advertising",0,1,4,0,0
Full-time,NULL,"Hospital & Health Care",1,1,1,0,0
NULL,Internship,Internet,0,1,2,0,0
Contract,Executive,Hospitality,0,0,2,2,100
Full-time,Director,"Financial Services",0,1,8,0,0
Full-time,"Mid-Senior level","Electrical/Electronic Manufacturing",0,0,9,1,11.11
Full-time,"Mid-Senior level","Market Research",0,1,4,0,0
Other,Director,Publishing,1,1,1,0,0
Contract,"Entry level",NULL,1,1,1,0,0
Full-time,Associate,E-Learning,1,1,2,0,0
Temporary,Internship,Retail,0,1,5,0,0
Full-time,Director,"Marketing and Advertising",0,0,4,0,0
Full-time,"Not Applicable","Security and Investigations",0,0,3,0,0
Other,Director,"Civic & Social Organization",0,1,1,0,0
Contract,"Entry level","Oil & Energy",0,1,1,0,0
Full-time,"Not Applicable","Public Relations and Communications",0,0,1,0,0
Part-time,Internship,"Management Consulting",0,0,1,0,0
Other,"Entry level","Oil & Energy",0,1,2,0,0
Full-time,"Mid-Senior level",Pharmaceuticals,0,1,5,0,0
Full-time,"Mid-Senior level",E-Learning,1,1,2,0,0
Full-time,NULL,Wholesale,0,0,2,1,50
Contract,"Not Applicable",NULL,1,1,2,0,0
Contract,"Mid-Senior level",Construction,0,1,2,0,0
Full-time,"Entry level","Aviation & Aerospace",0,1,3,0,0
Full-time,Director,"Venture Capital & Private Equity",0,1,2,0,0
Full-time,NULL,"Computer Networking",0,1,5,0,0
Full-time,Associate,Telecommunications,0,0,3,0,0
Full-time,"Mid-Senior level","Education Management",0,1,5,0,0
Contract,"Not Applicable","Package/Freight Delivery",0,1,3,0,0
Full-time,Associate,"International Trade and Development",0,0,2,0,0
Full-time,NULL,"Electrical/Electronic Manufacturing",0,0,7,1,14.29
Full-time,Associate,Construction,0,0,2,0,0
NULL,"Entry level","Facilities Services",0,1,1,0,0
Full-time,"Mid-Senior level","Real Estate",0,0,2,0,0
Full-time,Associate,"Legal Services",0,0,1,0,0
Full-time,Director,Insurance,0,1,2,0,0
Contract,"Entry level","Marketing and Advertising",0,1,2,0,0
Contract,"Entry level",Printing,0,1,1,0,0
Full-time,Associate,"Events Services",0,0,2,0,0
Full-time,Director,"Computer Software",1,0,1,0,0
Temporary,"Mid-Senior level",Cosmetics,0,1,1,0,0
Full-time,NULL,Chemicals,0,1,3,0,0
Contract,NULL,"Computer Software",0,1,3,0,0
Full-time,Associate,"Building Materials",0,1,5,0,0
Full-time,"Mid-Senior level","Health, Wellness and Fitness",1,1,2,0,0
Full-time,Director,"Management Consulting",0,0,1,0,0
Full-time,"Entry level","Graphic Design",0,1,2,0,0
Full-time,Associate,"Legal Services",0,1,9,0,0
Full-time,"Mid-Senior level",Telecommunications,0,0,5,1,20
Contract,NULL,"Package/Freight Delivery",0,1,1,0,0
Full-time,"Not Applicable","Information Technology and Services",1,0,1,0,0
NULL,Associate,Research,0,0,1,0,0
Temporary,Associate,"Computer Software",0,0,1,0,0
Other,"Entry level",E-Learning,0,0,1,0,0
Contract,"Entry level","Information Services",0,1,1,0,0
Full-time,"Entry level",Publishing,0,0,1,0,0
Full-time,"Mid-Senior level","Online Media",0,0,5,0,0
Part-time,NULL,"Medical Practice",0,1,5,0,0
Full-time,"Entry level","Security and Investigations",0,1,2,1,50
Full-time,NULL,"Oil & Energy",0,0,25,25,100
Contract,"Mid-Senior level",Telecommunications,0,0,4,0,0
Other,"Not Applicable",Hospitality,0,0,1,0,0
Temporary,"Not Applicable","Marketing and Advertising",1,1,1,0,0
Contract,Internship,"Computer Software",0,1,2,0,0
Full-time,NULL,"Media Production",0,1,5,1,20
Full-time,NULL,"Real Estate",0,1,15,0,0
Full-time,NULL,Internet,0,0,7,0,0
Contract,NULL,"Marketing and Advertising",0,1,1,0,0
Part-time,Internship,"Professional Training & Coaching",0,0,2,0,0
Part-time,"Entry level","Mechanical or Industrial Engineering",0,0,1,0,0
Full-time,"Not Applicable","Consumer Electronics",0,1,6,0,0
Full-time,"Not Applicable","Real Estate",0,0,4,0,0
Full-time,"Not Applicable","Legal Services",0,1,2,0,0
Full-time,NULL,"Legal Services",0,1,6,0,0
Contract,Internship,"Public Relations and Communications",0,1,1,0,0
Full-time,"Entry level",Publishing,0,1,4,0,0
Full-time,"Mid-Senior level","Health, Wellness and Fitness",0,0,2,0,0
Full-time,Associate,Machinery,0,1,2,0,0
Full-time,"Mid-Senior level","Renewables & Environment",0,1,5,0,0
Other,Internship,Animation,0,0,1,0,0
Part-time,"Mid-Senior level",Telecommunications,1,0,1,0,0
Other,"Mid-Senior level","Information Technology and Services",0,0,1,0,0
Full-time,Associate,Design,0,1,5,0,0
Temporary,"Mid-Senior level","Translation and Localization",0,0,1,0,0
Full-time,Executive,"Marketing and Advertising",0,1,9,0,0
Full-time,Associate,"Higher Education",0,0,2,0,0
Temporary,NULL,"Translation and Localization",0,0,1,0,0
Full-time,NULL,"Broadcast Media",0,1,2,0,0
Contract,Executive,"Information Technology and Services",0,0,1,0,0
Part-time,"Entry level","Consumer Services",1,0,1,0,0
Temporary,"Entry level",Hospitality,0,0,1,0,0
Other,NULL,"Hospital & Health Care",0,0,1,0,0
Full-time,"Mid-Senior level",Biotechnology,0,1,6,0,0
Full-time,Associate,"Media Production",0,1,5,0,0
Full-time,Director,"Nonprofit Organization Management",0,0,1,0,0
Part-time,"Mid-Senior level",Cosmetics,0,1,2,0,0
Full-time,NULL,Transportation/Trucking/Railroad,0,0,3,0,0
Full-time,"Mid-Senior level","Human Resources",0,0,3,0,0
Temporary,"Not Applicable",Construction,0,1,1,0,0
Contract,"Entry level","Events Services",0,1,1,0,0
Full-time,Executive,"Motion Pictures and Film",0,1,1,0,0
Full-time,Associate,"Health, Wellness and Fitness",0,1,11,0,0
Full-time,"Entry level","Education Management",0,0,3,0,0
Contract,"Not Applicable","Hospital & Health Care",0,1,3,0,0
Full-time,Director,"Public Relations and Communications",0,1,2,0,0
Full-time,NULL,"Information Technology and Services",1,1,5,0,0
Part-time,"Entry level","Information Technology and Services",0,1,8,0,0
Full-time,NULL,Biotechnology,0,1,3,0,0
Contract,Associate,"Events Services",0,1,1,0,0
NULL,Associate,"Computer Software",0,1,2,0,0
Full-time,"Mid-Senior level","Computer Hardware",0,0,2,0,0
Contract,Associate,NULL,0,1,2,0,0
Full-time,Internship,"Civic & Social Organization",0,1,1,0,0
NULL,"Not Applicable",Insurance,0,1,6,0,0
Contract,NULL,"Professional Training & Coaching",0,1,1,0,0
Part-time,Associate,"Nonprofit Organization Management",0,1,4,0,0
Full-time,"Mid-Senior level",Photography,0,1,3,0,0
Other,Internship,"Computer Games",0,1,1,0,0
Full-time,NULL,Fund-Raising,0,1,1,0,0
Part-time,"Entry level",Banking,0,1,2,0,0
Other,"Entry level",E-Learning,0,1,2,0,0
Full-time,"Mid-Senior level","Architecture & Planning",0,1,1,0,0
Full-time,Associate,Hospitality,0,0,5,0,0
Contract,NULL,Construction,0,0,1,0,0
Full-time,Associate,"Leisure, Travel & Tourism",0,1,5,0,0
Full-time,Director,Construction,1,0,1,0,0
NULL,NULL,Construction,0,1,4,0,0
Full-time,NULL,"Venture Capital & Private Equity",0,1,1,0,0
Other,"Mid-Senior level",NULL,1,1,1,0,0
Full-time,"Mid-Senior level",Cosmetics,0,0,2,0,0
Full-time,"Entry level","Media Production",0,1,4,1,25
Full-time,"Mid-Senior level",Maritime,0,1,1,0,0
Full-time,Associate,"Mechanical or Industrial Engineering",0,1,1,0,0
Other,Internship,"Marketing and Advertising",0,1,8,0,0
Temporary,NULL,Cosmetics,0,1,16,0,0
Full-time,Associate,Publishing,0,0,1,0,0
Full-time,"Entry level","Law Practice",0,0,2,0,0
Part-time,"Not Applicable",Retail,0,0,2,0,0
NULL,NULL,"Mechanical or Industrial Engineering",0,0,2,2,100
Full-time,"Not Applicable",NULL,0,0,7,3,42.86
NULL,"Entry level","Online Media",0,1,1,0,0
Full-time,"Not Applicable","Computer Games",0,1,1,0,0
NULL,NULL,"Oil & Energy",0,0,14,14,100
Other,Associate,"Marketing and Advertising",0,1,1,0,0
Full-time,Associate,"Industrial Automation",0,0,2,0,0
Part-time,Internship,"Consumer Electronics",0,1,4,0,0
Full-time,NULL,Printing,0,1,1,0,0
Contract,"Mid-Senior level","Health, Wellness and Fitness",0,1,1,0,0
NULL,"Mid-Senior level",Internet,0,1,4,0,0
Part-time,"Mid-Senior level",Fund-Raising,0,1,2,0,0
Full-time,NULL,"Logistics and Supply Chain",0,1,10,0,0
NULL,"Mid-Senior level","Events Services",0,1,1,0,0
Contract,"Mid-Senior level","Oil & Energy",0,1,2,0,0
Full-time,"Not Applicable",Wireless,0,0,1,0,0
Full-time,"Mid-Senior level",Warehousing,0,1,3,0,0
Part-time,"Entry level","Graphic Design",0,1,1,0,0
Part-time,"Entry level",Entertainment,0,1,1,0,0
NULL,"Not Applicable","Information Technology and Services",0,0,1,0,0
Full-time,Associate,"Information Services",0,1,1,0,0
Other,"Not Applicable","Apparel & Fashion",0,0,1,0,0
Full-time,"Mid-Senior level","Staffing and Recruiting",0,0,7,0,0
Contract,"Not Applicable","Staffing and Recruiting",0,1,1,0,0
Other,"Mid-Senior level",Hospitality,0,1,2,0,0
Full-time,NULL,Automotive,0,0,2,0,0
Part-time,Associate,"Education Management",0,0,1,0,0
Full-time,Internship,Hospitality,0,1,2,0,0
Full-time,Director,Banking,1,0,1,0,0
Contract,"Not Applicable",NULL,0,1,3,0,0
Full-time,Associate,"Education Management",0,0,1,0,0
Full-time,"Entry level","Wine and Spirits",0,1,1,0,0
Full-time,"Entry level","Public Safety",0,1,2,1,50
Full-time,"Mid-Senior level","Education Management",0,0,4,0,0
Part-time,Associate,"Mental Health Care",0,1,1,0,0
Full-time,"Mid-Senior level",Outsourcing/Offshoring,0,1,10,0,0
Full-time,NULL,"Information Services",0,0,2,1,50
Part-time,Associate,"Online Media",0,1,1,0,0
Other,NULL,"Staffing and Recruiting",0,1,2,0,0
Full-time,"Mid-Senior level","Logistics and Supply Chain",0,0,7,0,0
Full-time,"Not Applicable","Logistics and Supply Chain",0,1,21,0,0
NULL,NULL,Accounting,0,1,1,0,0
Full-time,Director,"Health, Wellness and Fitness",0,0,1,0,0
Part-time,"Entry level",Music,0,1,2,0,0
Full-time,Director,"Human Resources",0,1,2,1,50
Full-time,"Entry level","Real Estate",0,0,3,0,0
NULL,NULL,"Health, Wellness and Fitness",0,0,1,1,100
Contract,"Mid-Senior level","Computer Software",0,0,3,0,0
Part-time,"Not Applicable","Marketing and Advertising",0,1,2,0,0
Other,"Entry level",Internet,0,1,3,0,0
Part-time,"Not Applicable","Facilities Services",0,0,1,0,0
Contract,"Not Applicable","Civic & Social Organization",0,0,1,1,100
Temporary,"Entry level",NULL,0,1,4,0,0
Part-time,Associate,"Oil & Energy",0,0,1,0,0
Temporary,"Mid-Senior level","Financial Services",0,1,1,0,0
Temporary,"Entry level","Consumer Goods",0,1,1,0,0
Full-time,NULL,"Computer & Network Security",0,1,8,0,0
Full-time,"Entry level","Human Resources",0,0,3,2,66.67
Part-time,"Mid-Senior level","Broadcast Media",0,0,1,1,100
Temporary,"Entry level",Chemicals,0,1,1,0,0
Full-time,"Entry level","Environmental Services",0,1,6,0,0
Full-time,NULL,"Environmental Services",0,0,10,0,0
Full-time,Associate,Wholesale,0,0,1,0,0
Contract,"Mid-Senior level","Information Technology and Services",1,0,2,0,0
Full-time,Internship,"Human Resources",0,1,1,0,0
Full-time,"Entry level",Internet,1,0,1,0,0
Temporary,"Mid-Senior level","Nonprofit Organization Management",0,0,1,0,0
Full-time,Director,"Staffing and Recruiting",0,0,1,0,0
NULL,"Not Applicable","Hospital & Health Care",0,1,2,0,0
Full-time,Executive,"Leisure, Travel & Tourism",0,1,3,0,0
Full-time,"Entry level",Retail,0,0,1,0,0
Part-time,Associate,Insurance,1,0,1,0,0
Part-time,"Not Applicable","Financial Services",0,0,3,3,100
NULL,"Not Applicable",NULL,1,1,1,0,0
Full-time,Internship,"Civil Engineering",0,1,1,0,0
Contract,Associate,Military,1,1,1,1,100
Part-time,"Not Applicable","Food & Beverages",0,1,1,0,0
Other,"Entry level",Wholesale,0,1,1,0,0
Full-time,Director,"Consumer Goods",0,0,1,0,0
Temporary,NULL,"Apparel & Fashion",0,1,2,0,0
Full-time,NULL,"Facilities Services",0,1,2,0,0
Full-time,"Entry level",Sports,0,1,3,0,0
Full-time,Associate,"Staffing and Recruiting",0,0,2,0,0
Part-time,Associate,"Apparel & Fashion",0,1,2,0,0
Full-time,Associate,"Gambling & Casinos",0,0,3,0,0
Full-time,"Mid-Senior level","Food Production",0,0,2,1,50
Full-time,Internship,"Legal Services",0,1,1,0,0
Full-time,Internship,"Renewables & Environment",0,1,1,0,0
Part-time,Associate,"Hospital & Health Care",0,1,4,0,0
Full-time,"Entry level",Utilities,0,0,1,1,100
Full-time,"Entry level",Printing,0,1,4,0,0
Full-time,Internship,"Investment Management",0,0,1,1,100
Full-time,Associate,"Business Supplies and Equipment",0,0,3,0,0
Full-time,Executive,Design,0,1,1,0,0
Contract,NULL,Construction,0,1,2,0,0
NULL,NULL,"Consumer Electronics",0,1,1,0,0
NULL,NULL,Insurance,0,0,1,1,100
Part-time,NULL,"Hospital & Health Care",0,0,2,1,50
Full-time,Associate,"Government Relations",0,1,2,0,0
Full-time,NULL,Printing,0,0,4,0,0
Full-time,Associate,"Information Technology and Services",1,0,1,0,0
Contract,"Not Applicable","Computer Software",1,1,8,0,0
Part-time,"Entry level","Oil & Energy",0,1,1,0,0
Full-time,NULL,"Information Services",0,1,3,0,0
NULL,Associate,NULL,0,1,2,0,0
Full-time,"Mid-Senior level",Insurance,0,1,11,1,9.09
Contract,"Not Applicable","Information Technology and Services",0,1,2,0,0
Contract,Associate,"Consumer Services",1,0,1,1,100
NULL,"Not Applicable","Legal Services",0,1,2,0,0
Full-time,"Not Applicable","Marketing and Advertising",1,1,1,0,0
NULL,NULL,Pharmaceuticals,1,1,3,0,0
Full-time,"Entry level","Food Production",1,1,1,0,0
Contract,NULL,Design,0,1,3,0,0
